PRODUCT_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,CATEGORY_ID,WEIGHT_CLASS,WARRANTY_PERIOD,SUPPLIER_ID,PRODUCT_STATUS,LIST_PRICE,MIN_PRICE,CATALOG_URL
3331,Monitor 21/HR,"21 inch monitor (20 inch viewable) high resolution. This monitor is ideal for business, desktop publishing, and graphics-intensive applications. Enjoy the productivity that a large monitor can bring via more workspace for running applications.",11,5,+01-00,102083,orderable,879,785,http://www.supp-102083.com/cat/hw/p3331.html
2252,Monitor 21/HR/M,"Monitor 21 inch (20 viewable) high resolution, monochrome. Unit size: 35.6 x 29.6 x 33.3 cm (14.6 kg) Package: 40.53 x 31.24 x 35.39 cm (16.5 kg). Horizontal frequency 31.5 - 54 kHz, Vertical frequency 50 - 120 Hz. Universal power supply 90 - 132 V, 50 - 60 Hz.",11,5,+01-06,102079,obsolete,889,717,http://www.supp-102079.com/cat/hw/p2252.html
3064,Monitor 21/SD,"Monitor 21 inch (20 viewable) short depth. Features include a 0.25-0.28 Aperture Grille Pitch, resolution support up to 1920 x 1200 at 76Hz, on-screen displays, and a conductive anti-reflective film coating.",11,5,+01-06,102096,planned,1023,909,http://www.supp-102096.com/cat/hw/p3064.html
3155,Monitor Hinge - HD,"Monitor Hinge, heavy duty, maximum monitor weight 30 kg",11,4,+10-00,102092,orderable,49,42,http://www.supp-102092.com/cat/hw/p3155.html
3234,Monitor Hinge - STD,"Standard Monitor Hinge, maximum monitor weight 10 kg",11,3,+10-00,102072,orderable,39,34,http://www.supp-102072.com/cat/hw/p3234.html
3350,Plasma Monitor 10/LE/VGA,"10 inch low energy plasma monitor, VGA resolution",11,3,+01-00,102068,orderable,740,630,http://www.supp-102068.com/cat/hw/p3350.html
2236,Plasma Monitor 10/TFT/XGA,10 inch TFT XGA flatscreen monitor for laptop computers,11,3,+01-00,102090,under development,964,863,http://www.supp-102090.com/cat/hw/p2236.html
3054,Plasma Monitor 10/XGA,"10 inch standard plasma monitor, XGA resolution. This virtually-flat, high-resolution screen delivers outstanding image quality with reduced glare.",11,3,+01-00,102060,orderable,600,519,http://www.supp-102060.com/cat/hw/p3054.html
1782,Compact 400/DQ,"400 characters per second high-speed draft printer. Dimensions (HxWxD): 17.34 x 24.26 x 26.32 inch. Interface: RS-232 serial (9-pin), no expansion slots. Paper size: A4, US Letter.",12,4,+01-06,102088,obsolete,125,108,http://www.supp-102088.com/cat/hw/p1782.html
2430,Compact 400/LQ,"400 characters per second high-speed letter-quality printer. Dimensions (HxWxD): 12.37 x 27.96 x 23.92 inch. Interface: RS-232 serial (25-pin), 3 expansion slots. Paper size: A2, A3, A4.",12,4,+02-00,102087,orderable,175,143,http://www.supp-102087.com/cat/hw/p2430.html
1792,Industrial 600/DQ,Wide carriage color capability 600 characters per second high-speed draft printer. Dimensions (HxWxD): 22.31 x 25.73 x 20.12 inch. Paper size: 3x5 inch to 11x17 inch full bleed wide format.,12,4,+05-00,102088,orderable,225,180,http://www.supp-102088.com/cat/hw/p1792.html
1791,Industrial 700/HD,"700 characters per second dot-matrix printer with harder body and dust protection for industrial uses. Interface: Centronics parallel, IEEE 1284 compliant. Paper size: 3x5 inch to 11x17 inch full bleed wide format. Memory: 4MB. Dimensions (HxWxD): 9.3 x 16.5 x 13 inch.",12,5,+05-00,102086,orderable,275,239,http://www.supp-102086.com/cat/hw/p1791.html
2302,Inkjet B/6,"Inkjet Printer, black and white, 6 pages per minute, resolution 600x300 dpi. Interface: Centronics parallel, IEEE 1284 compliant. Dimensions (HxWxD): 7.3 x 17.5 x 14 inch. Paper size: A3, A4, US legal. No expansion slots.",12,3,+02-00,102096,orderable,150,121,http://www.supp-102096.com/cat/hw/p2302.html
2453,Inkjet C/4,"Inkjet Printer, color (with two separate ink cartridges), 6 pages per minute black and white, 4 pages per minute color, resolution 600x300 dpi. Interface: Biodirectional IEEE 1284 compliant parallel interface and RS-232 serial (9-pin) interface 2 open EIO expansion slots. Memory: 8MB 96KB receiver buffer.",12,3,+02-00,102090,orderable,195,174,http://www.supp-102090.com/cat/hw/p2453.html
2810,Inkvisible Pens,"Rollerball pen is equipped with a smooth precision tip. See-through rubber grip allows for a visible ink supply and comfortable writing. 4-pack with 1 each, black, blue, red, green.",32,1,+00-00,103095,orderable,6,4,http://www.supp-103095.com/cat/off/p2810.html
2870,Pencil - Mech,Ergonomically designed mechanical pencil for improved writing comfort. Refillable erasers and leads. Available in three lead sizes: .5mm (fine); .7mm (medium); and .9mm (thick).,32,1,+02-00,103097,orderable,5,4,http://www.supp-103097.com/cat/off/p2870.html
1781,CDW 20/48/E,"CD Writer, read 48x, write 20x",17,2,+00-09,102060,orderable,233,206,http://www.supp-102060.com/cat/hw/p1781.html
2264,CDW 20/48/I,"CD-ROM drive: read 20x, write 48x (internal)",17,2,+00-09,102060,orderable,223,181,http://www.supp-102060.com/cat/hw/p2264.html
2260,DFD 1.44/3.5,Dual Floppy Drive - 1.44 MB - 3.5,17,2,+00-06,102062,orderable,67,54,http://www.supp-102062.com/cat/hw/p2260.html
2266,DVD 12x,DVD-ROM drive: speed 12x,17,3,+01-00,102099,orderable,333,270,http://www.supp-102099.com/cat/hw/p2266.html
3077,DVD 8x,"DVD - ROM drive, 8x speed. Will probably become obsolete pretty soon...",17,3,+01-00,102099,orderable,274,237,http://www.supp-102099.com/cat/hw/p3077.html
2259,FD 1.44/3.5,Floppy Drive - 1.44 MB High Density capacity - 3.5 inch chassis,17,1,+00-09,102086,orderable,39,32,http://www.supp-102086.com/cat/hw/p2259.html
2261,FD 1.44/3.5/E,Floppy disk drive - 1.44 MB (high density) capacity - 3.5 inch (external),17,2,+00-09,102086,orderable,42,37,http://www.supp-102086.com/cat/hw/p2261.html
